id,category,question,knowledgeBaseId,expectedDocumentIds,returnedDocumentIds,rank,recallAt1,recallAt3,recallAt5,reciprocalRankAt5,latencyMs,status,error
synthetic-001-01,人力资源部-文档元数据,《澄明科技-人力资源部员工入职与劳动关系基础执行规范》的文档编号是什么？,default,cd6b6dc740046cfd478609184d118f40,cd6b6dc740046cfd478609184d118f40 || 1232b8e1f1da8f30520e49a765025d57 || 1232b8e1f1da8f30520e49a765025d57|1232b8e1f1da8f30520e49a765025d57_seg_0 || cd6b6dc740046cfd478609184d118f40|cd6b6dc740046cfd478609184d118f40_seg_0 || 940b7711b1db6857866bad0d3afe9a70|940b7711b1db6857866bad0d3afe9a70_seg_0,1,1,1,1,1.0,3037.45,success,
synthetic-001-02,人力资源部-文档元数据,《澄明科技-人力资源部员工入职与劳动关系基础执行规范》由哪个部门制定？,default,cd6b6dc740046cfd478609184d118f40,cd6b6dc740046cfd478609184d118f40 || cd6b6dc740046cfd478609184d118f40|cd6b6dc740046cfd478609184d118f40_seg_0 || 1232b8e1f1da8f30520e49a765025d57|1232b8e1f1da8f30520e49a765025d57_seg_0 || 940b7711b1db6857866bad0d3afe9a70|940b7711b1db6857866bad0d3afe9a70_seg_0 || 0de68a63896b66f7216c7376d38d6cfe|0de68a63896b66f7216c7376d38d6cfe_seg_0,1,1,1,1,1.0,2527.29,success,
synthetic-001-03,人力资源部-适用范围,《澄明科技-人力资源部员工入职与劳动关系基础执行规范》规范的核心工作主题是什么？,default,cd6b6dc740046cfd478609184d118f40,cd6b6dc740046cfd478609184d118f40 || cd6b6dc740046cfd478609184d118f40|cd6b6dc740046cfd478609184d118f40_seg_0 || 940b7711b1db6857866bad0d3afe9a70|940b7711b1db6857866bad0d3afe9a70_seg_0 || 1232b8e1f1da8f30520e49a765025d57|1232b8e1f1da8f30520e49a765025d57_seg_0 || 0de68a63896b66f7216c7376d38d6cfe|0de68a63896b66f7216c7376d38d6cfe_seg_0,1,1,1,1,1.0,2746.53,success,
synthetic-001-04,人力资源部-适用范围,《澄明科技-人力资源部员工入职与劳动关系基础执行规范》适用于哪些人员？,default,cd6b6dc740046cfd478609184d118f40,cd6b6dc740046cfd478609184d118f40 || cd6b6dc740046cfd478609184d118f40|cd6b6dc740046cfd478609184d118f40_seg_0 || 1232b8e1f1da8f30520e49a765025d57|1232b8e1f1da8f30520e49a765025d57_seg_0 || 940b7711b1db6857866bad0d3afe9a70|940b7711b1db6857866bad0d3afe9a70_seg_0 || 0de68a63896b66f7216c7376d38d6cfe|0de68a63896b66f7216c7376d38d6cfe_seg_0,1,1,1,1,1.0,2779.8,success,
synthetic-001-05,人力资源部-文档元数据,《澄明科技-人力资源部员工入职与劳动关系基础执行规范》从哪一天开始生效？,default,cd6b6dc740046cfd478609184d118f40,cd6b6dc740046cfd478609184d118f40 || cd6b6dc740046cfd478609184d118f40|cd6b6dc740046cfd478609184d118f40_seg_0 || 1232b8e1f1da8f30520e49a765025d57|1232b8e1f1da8f30520e49a765025d57_seg_0 || 940b7711b1db6857866bad0d3afe9a70|940b7711b1db6857866bad0d3afe9a70_seg_0 || 0de68a63896b66f7216c7376d38d6cfe|0de68a63896b66f7216c7376d38d6cfe_seg_0,1,1,1,1,1.0,2736.17,success,
synthetic-001-06,人力资源部-复盘,《澄明科技-人力资源部员工入职与劳动关系基础执行规范》多久复核一次？,default,cd6b6dc740046cfd478609184d118f40,cd6b6dc740046cfd478609184d118f40 || 0de68a63896b66f7216c7376d38d6cfe|0de68a63896b66f7216c7376d38d6cfe_seg_0 || cd6b6dc740046cfd478609184d118f40|cd6b6dc740046cfd478609184d118f40_seg_0 || 1232b8e1f1da8f30520e49a765025d57|1232b8e1f1da8f30520e49a765025d57_seg_0 || 940b7711b1db6857866bad0d3afe9a70|940b7711b1db6857866bad0d3afe9a70_seg_0,1,1,1,1,1.0,2518.98,success,
synthetic-001-07,人力资源部-审批,《澄明科技-人力资源部员工入职与劳动关系基础执行规范》的常规事项由谁审批？,default,cd6b6dc740046cfd478609184d118f40,cd6b6dc740046cfd478609184d118f40 || cd6b6dc740046cfd478609184d118f40|cd6b6dc740046cfd478609184d118f40_seg_0 || 940b7711b1db6857866bad0d3afe9a70|940b7711b1db6857866bad0d3afe9a70_seg_0 || 1232b8e1f1da8f30520e49a765025d57|1232b8e1f1da8f30520e49a765025d57_seg_0 || 0de68a63896b66f7216c7376d38d6cfe|0de68a63896b66f7216c7376d38d6cfe_seg_0,1,1,1,1,1.0,2573.01,success,
synthetic-001-08,人力资源部-审批,《澄明科技-人力资源部员工入职与劳动关系基础执行规范》的特殊情况需要谁书面确认？,default,cd6b6dc740046cfd478609184d118f40,cd6b6dc740046cfd478609184d118f40 || cd6b6dc740046cfd478609184d118f40|cd6b6dc740046cfd478609184d118f40_seg_0 || 940b7711b1db6857866bad0d3afe9a70|940b7711b1db6857866bad0d3afe9a70_seg_0 || 1232b8e1f1da8f30520e49a765025d57|1232b8e1f1da8f30520e49a765025d57_seg_0 || 0de68a63896b66f7216c7376d38d6cfe|0de68a63896b66f7216c7376d38d6cfe_seg_0,1,1,1,1,1.0,3040.67,success,
synthetic-001-09,人力资源部-执行要求,《澄明科技-人力资源部员工入职与劳动关系基础执行规范》至少提前多少个工作小时提交申请？,default,cd6b6dc740046cfd478609184d118f40,cd6b6dc740046cfd478609184d118f40 || 940b7711b1db6857866bad0d3afe9a70 || 4cbf94d0f558281b16b79c25e9058f17 || 0de68a63896b66f7216c7376d38d6cfe || 1232b8e1f1da8f30520e49a765025d57,1,1,1,1,1.0,2740.99,success,
synthetic-001-10,人力资源部-执行要求,《澄明科技-人力资源部员工入职与劳动关系基础执行规范》工作日的执行窗口是什么时间？,default,cd6b6dc740046cfd478609184d118f40,cd6b6dc740046cfd478609184d118f40 || cd6b6dc740046cfd478609184d118f40|cd6b6dc740046cfd478609184d118f40_seg_0 || 4cbf94d0f558281b16b79c25e9058f17|4cbf94d0f558281b16b79c25e9058f17_seg_0 || 940b7711b1db6857866bad0d3afe9a70|940b7711b1db6857866bad0d3afe9a70_seg_0 || 1232b8e1f1da8f30520e49a765025d57|1232b8e1f1da8f30520e49a765025d57_seg_0,1,1,1,1,1.0,2844.85,success,
synthetic-001-11,人力资源部-执行要求,《澄明科技-人力资源部员工入职与劳动关系基础执行规范》每月费用或资源使用额度上限是多少？,default,cd6b6dc740046cfd478609184d118f40,cd6b6dc740046cfd478609184d118f40 || cd6b6dc740046cfd478609184d118f40|cd6b6dc740046cfd478609184d118f40_seg_0 || 0de68a63896b66f7216c7376d38d6cfe|0de68a63896b66f7216c7376d38d6cfe_seg_0 || 940b7711b1db6857866bad0d3afe9a70|940b7711b1db6857866bad0d3afe9a70_seg_0 || 1232b8e1f1da8f30520e49a765025d57|1232b8e1f1da8f30520e49a765025d57_seg_0,1,1,1,1,1.0,2701.31,success,
synthetic-001-12,人力资源部-执行要求,《澄明科技-人力资源部员工入职与劳动关系基础执行规范》的例行检查安排在哪些时间？,default,cd6b6dc740046cfd478609184d118f40,cd6b6dc740046cfd478609184d118f40 || cd6b6dc740046cfd478609184d118f40|cd6b6dc740046cfd478609184d118f40_seg_0 || 940b7711b1db6857866bad0d3afe9a70|940b7711b1db6857866bad0d3afe9a70_seg_0 || 4cbf94d0f558281b16b79c25e9058f17|4cbf94d0f558281b16b79c25e9058f17_seg_0 || 1232b8e1f1da8f30520e49a765025d57|1232b8e1f1da8f30520e49a765025d57_seg_0,1,1,1,1,1.0,2919.43,success,
synthetic-001-13,人力资源部-安全,《澄明科技-人力资源部员工入职与劳动关系基础执行规范》发生安全或数据异常后多久内要报告？,default,cd6b6dc740046cfd478609184d118f40,cd6b6dc740046cfd478609184d118f40 || 940b7711b1db6857866bad0d3afe9a70|940b7711b1db6857866bad0d3afe9a70_seg_0 || cd6b6dc740046cfd478609184d118f40|cd6b6dc740046cfd478609184d118f40_seg_0 || 4cbf94d0f558281b16b79c25e9058f17|4cbf94d0f558281b16b79c25e9058f17_seg_0 || 0de68a63896b66f7216c7376d38d6cfe|0de68a63896b66f7216c7376d38d6cfe_seg_0,1,1,1,1,1.0,2700.96,success,
synthetic-001-14,人力资源部-培训,《澄明科技-人力资源部员工入职与劳动关系基础执行规范》每季度至少要完成多少小时专项培训？,default,cd6b6dc740046cfd478609184d118f40,cd6b6dc740046cfd478609184d118f40 || 940b7711b1db6857866bad0d3afe9a70 || 4cbf94d0f558281b16b79c25e9058f17 || 0de68a63896b66f7216c7376d38d6cfe || 1232b8e1f1da8f30520e49a765025d57,1,1,1,1,1.0,2719.64,success,
synthetic-001-15,人力资源部-质量,《澄明科技-人力资源部员工入职与劳动关系基础执行规范》关键流程的一次通过率目标是多少？,default,cd6b6dc740046cfd478609184d118f40,cd6b6dc740046cfd478609184d118f40 || cd6b6dc740046cfd478609184d118f40|cd6b6dc740046cfd478609184d118f40_seg_0 || 0de68a63896b66f7216c7376d38d6cfe|0de68a63896b66f7216c7376d38d6cfe_seg_0 || 940b7711b1db6857866bad0d3afe9a70|940b7711b1db6857866bad0d3afe9a70_seg_0 || 1232b8e1f1da8f30520e49a765025d57|1232b8e1f1da8f30520e49a765025d57_seg_0,1,1,1,1,1.0,2552.52,success,
synthetic-001-16,人力资源部-质量,《澄明科技-人力资源部员工入职与劳动关系基础执行规范》每月随机抽查记录的最低数量是多少？,default,cd6b6dc740046cfd478609184d118f40,cd6b6dc740046cfd478609184d118f40 || cd6b6dc740046cfd478609184d118f40|cd6b6dc740046cfd478609184d118f40_seg_0 || 0de68a63896b66f7216c7376d38d6cfe|0de68a63896b66f7216c7376d38d6cfe_seg_0 || 1232b8e1f1da8f30520e49a765025d57|1232b8e1f1da8f30520e49a765025d57_seg_0 || 940b7711b1db6857866bad0d3afe9a70|940b7711b1db6857866bad0d3afe9a70_seg_0,1,1,1,1,1.0,2760.61,success,
synthetic-001-17,人力资源部-归档,《澄明科技-人力资源部员工入职与劳动关系基础执行规范》的流程材料至少保存多久？,default,cd6b6dc740046cfd478609184d118f40,cd6b6dc740046cfd478609184d118f40 || 940b7711b1db6857866bad0d3afe9a70 || 4cbf94d0f558281b16b79c25e9058f17 || 0de68a63896b66f7216c7376d38d6cfe || 1232b8e1f1da8f30520e49a765025d57,1,1,1,1,1.0,2899.52,success,
synthetic-001-18,人力资源部-文档元数据,《澄明科技-人力资源部员工入职与劳动关系基础执行规范》当前版本号是什么？,default,cd6b6dc740046cfd478609184d118f40,cd6b6dc740046cfd478609184d118f40 || cd6b6dc740046cfd478609184d118f40|cd6b6dc740046cfd478609184d118f40_seg_0 || 1232b8e1f1da8f30520e49a765025d57|1232b8e1f1da8f30520e49a765025d57_seg_0 || 940b7711b1db6857866bad0d3afe9a70|940b7711b1db6857866bad0d3afe9a70_seg_0 || 0de68a63896b66f7216c7376d38d6cfe|0de68a63896b66f7216c7376d38d6cfe_seg_0,1,1,1,1,1.0,2909.65,success,
synthetic-001-19,人力资源部-联系方式,《澄明科技-人力资源部员工入职与劳动关系基础执行规范》的制度支持邮箱是什么？,default,cd6b6dc740046cfd478609184d118f40,cd6b6dc740046cfd478609184d118f40 || cd6b6dc740046cfd478609184d118f40|cd6b6dc740046cfd478609184d118f40_seg_0 || 940b7711b1db6857866bad0d3afe9a70|940b7711b1db6857866bad0d3afe9a70_seg_0 || 1232b8e1f1da8f30520e49a765025d57|1232b8e1f1da8f30520e49a765025d57_seg_0 || 0de68a63896b66f7216c7376d38d6cfe|0de68a63896b66f7216c7376d38d6cfe_seg_0,1,1,1,1,1.0,2542.93,success,
