id,category,question,knowledgeBaseId,expectedDocumentIds,returnedDocumentIds,rank,recallAt1,recallAt3,recallAt5,reciprocalRankAt5,latencyMs,status,error
qa-0001,远程办公制度,临时远程办公单次最长可以申请多少个工作日？,default,REPLACE_REMOTE_POLICY_DOCUMENT_ID,8fd8e510803f174be57e4f2f6ecc0e03|8fd8e510803f174be57e4f2f6ecc0e03_seg_0 || 8fd8e510803f174be57e4f2f6ecc0e03|8fd8e510803f174be57e4f2f6ecc0e03_seg_2 || 8fd8e510803f174be57e4f2f6ecc0e03|8fd8e510803f174be57e4f2f6ecc0e03_seg_1 || c0bc9a9041a726e0d025dc2320d1d44e|c0bc9a9041a726e0d025dc2320d1d44e_seg_2 || 8fd8e510803f174be57e4f2f6ecc0e03,,0,0,0,0,2921.25,success,
qa-0002,远程办公制度,连续远程办公超过 20 个工作日需要哪些审批或备案？,default,REPLACE_REMOTE_POLICY_DOCUMENT_ID,8fd8e510803f174be57e4f2f6ecc0e03|8fd8e510803f174be57e4f2f6ecc0e03_seg_3 || c0bc9a9041a726e0d025dc2320d1d44e|c0bc9a9041a726e0d025dc2320d1d44e_seg_2 || 8fd8e510803f174be57e4f2f6ecc0e03|8fd8e510803f174be57e4f2f6ecc0e03_seg_1 || 8fd8e510803f174be57e4f2f6ecc0e03|8fd8e510803f174be57e4f2f6ecc0e03_seg_0 || 8fd8e510803f174be57e4f2f6ecc0e03,,0,0,0,0,3816.85,success,
qa-0003,远程办公制度,远程办公期间员工每天应在什么时间保持在线？,default,REPLACE_REMOTE_POLICY_DOCUMENT_ID,8fd8e510803f174be57e4f2f6ecc0e03|8fd8e510803f174be57e4f2f6ecc0e03_seg_1 || 8fd8e510803f174be57e4f2f6ecc0e03|8fd8e510803f174be57e4f2f6ecc0e03_seg_2 || 8fd8e510803f174be57e4f2f6ecc0e03|8fd8e510803f174be57e4f2f6ecc0e03_seg_0 || c0bc9a9041a726e0d025dc2320d1d44e|c0bc9a9041a726e0d025dc2320d1d44e_seg_2 || 8fd8e510803f174be57e4f2f6ecc0e03|8fd8e510803f174be57e4f2f6ecc0e03_seg_3,,0,0,0,0,4102.43,success,
qa-0004,远程办公制度,发现设备遗失或疑似资料外泄后，员工多久内必须报告？,default,REPLACE_REMOTE_POLICY_DOCUMENT_ID,8fd8e510803f174be57e4f2f6ecc0e03|8fd8e510803f174be57e4f2f6ecc0e03_seg_2 || 8fd8e510803f174be57e4f2f6ecc0e03|8fd8e510803f174be57e4f2f6ecc0e03_seg_1 || c0bc9a9041a726e0d025dc2320d1d44e|c0bc9a9041a726e0d025dc2320d1d44e_seg_2 || 8fd8e510803f174be57e4f2f6ecc0e03|8fd8e510803f174be57e4f2f6ecc0e03_seg_0 || c0bc9a9041a726e0d025dc2320d1d44e|c0bc9a9041a726e0d025dc2320d1d44e_seg_3,,0,0,0,0,2759.43,success,
qa-0005,远程办公制度,常态化远程办公的网络补贴每月最高是多少？,default,REPLACE_REMOTE_POLICY_DOCUMENT_ID,8fd8e510803f174be57e4f2f6ecc0e03|8fd8e510803f174be57e4f2f6ecc0e03_seg_2 || 8fd8e510803f174be57e4f2f6ecc0e03|8fd8e510803f174be57e4f2f6ecc0e03_seg_1 || 8fd8e510803f174be57e4f2f6ecc0e03|8fd8e510803f174be57e4f2f6ecc0e03_seg_0 || 8fd8e510803f174be57e4f2f6ecc0e03 || db875b0d54cdda3d466916a919cfee05,,0,0,0,0,2727.67,success,
qa-0006,项目交付方案,北辰项目一共分为几个交付阶段？,default,REPLACE_PROJECT_PLAN_DOCUMENT_ID,c0bc9a9041a726e0d025dc2320d1d44e|c0bc9a9041a726e0d025dc2320d1d44e_seg_0 || c0bc9a9041a726e0d025dc2320d1d44e|c0bc9a9041a726e0d025dc2320d1d44e_seg_1 || 8fd8e510803f174be57e4f2f6ecc0e03|8fd8e510803f174be57e4f2f6ecc0e03_seg_1 || db875b0d54cdda3d466916a919cfee05|db875b0d54cdda3d466916a919cfee05_seg_1 || c0bc9a9041a726e0d025dc2320d1d44e|c0bc9a9041a726e0d025dc2320d1d44e_seg_3,,0,0,0,0,3472.42,success,
qa-0007,项目交付方案,北辰项目的日销售数据同步延迟验收标准是多少？,default,REPLACE_PROJECT_PLAN_DOCUMENT_ID,c0bc9a9041a726e0d025dc2320d1d44e|c0bc9a9041a726e0d025dc2320d1d44e_seg_0 || c0bc9a9041a726e0d025dc2320d1d44e|c0bc9a9041a726e0d025dc2320d1d44e_seg_1 || c0bc9a9041a726e0d025dc2320d1d44e|c0bc9a9041a726e0d025dc2320d1d44e_seg_2 || c0bc9a9041a726e0d025dc2320d1d44e|c0bc9a9041a726e0d025dc2320d1d44e_seg_3 || 8fd8e510803f174be57e4f2f6ecc0e03|8fd8e510803f174be57e4f2f6ecc0e03_seg_1,,0,0,0,0,3422.87,success,
qa-0008,项目交付方案,什么情况会被判定为北辰项目的高风险？,default,REPLACE_PROJECT_PLAN_DOCUMENT_ID,c0bc9a9041a726e0d025dc2320d1d44e|c0bc9a9041a726e0d025dc2320d1d44e_seg_1 || c0bc9a9041a726e0d025dc2320d1d44e|c0bc9a9041a726e0d025dc2320d1d44e_seg_2 || c0bc9a9041a726e0d025dc2320d1d44e|c0bc9a9041a726e0d025dc2320d1d44e_seg_0 || 8fd8e510803f174be57e4f2f6ecc0e03|8fd8e510803f174be57e4f2f6ecc0e03_seg_1 || 8fd8e510803f174be57e4f2f6ecc0e03|8fd8e510803f174be57e4f2f6ecc0e03_seg_0,,0,0,0,0,3222.1,success,
qa-0009,项目交付方案,技术负责人需要在多长时间内完成需求变更的影响评估？,default,REPLACE_PROJECT_PLAN_DOCUMENT_ID,c0bc9a9041a726e0d025dc2320d1d44e|c0bc9a9041a726e0d025dc2320d1d44e_seg_2 || c0bc9a9041a726e0d025dc2320d1d44e|c0bc9a9041a726e0d025dc2320d1d44e_seg_1 || 8fd8e510803f174be57e4f2f6ecc0e03|8fd8e510803f174be57e4f2f6ecc0e03_seg_1 || 8fd8e510803f174be57e4f2f6ecc0e03|8fd8e510803f174be57e4f2f6ecc0e03_seg_2 || c0bc9a9041a726e0d025dc2320d1d44e|c0bc9a9041a726e0d025dc2320d1d44e_seg_3,,0,0,0,0,2976.42,success,
qa-0010,项目交付方案,北辰项目发布后，哪些情况需要立即停止发布并回滚？,default,REPLACE_PROJECT_PLAN_DOCUMENT_ID,c0bc9a9041a726e0d025dc2320d1d44e|c0bc9a9041a726e0d025dc2320d1d44e_seg_3 || 8fd8e510803f174be57e4f2f6ecc0e03|8fd8e510803f174be57e4f2f6ecc0e03_seg_1 || c0bc9a9041a726e0d025dc2320d1d44e|c0bc9a9041a726e0d025dc2320d1d44e_seg_2 || 8fd8e510803f174be57e4f2f6ecc0e03|8fd8e510803f174be57e4f2f6ecc0e03_seg_2 || c0bc9a9041a726e0d025dc2320d1d44e|c0bc9a9041a726e0d025dc2320d1d44e_seg_1,,0,0,0,0,2557.45,success,
