logicalDocumentKey,sourceFilename,documentTitle,documentId,placeholder
SYN-001,001-SYN-001-人力资源部-基础执行规范.md,澄明科技-人力资源部员工入职与劳动关系基础执行规范,,REPLACE_DOC_001
SYN-002,002-SYN-002-人力资源部-季度运行细则.md,澄明科技-人力资源部员工入职与劳动关系季度运行细则,,REPLACE_DOC_002
SYN-003,003-SYN-003-人力资源部-异常处理指引.md,澄明科技-人力资源部员工入职与劳动关系异常处理指引,,REPLACE_DOC_003
SYN-004,004-SYN-004-人力资源部-质量复盘办法.md,澄明科技-人力资源部员工入职与劳动关系质量复盘办法,,REPLACE_DOC_004
SYN-005,005-SYN-005-人力资源部-资料归档标准.md,澄明科技-人力资源部员工入职与劳动关系资料归档标准,,REPLACE_DOC_005
SYN-006,006-SYN-006-行政综合部-基础执行规范.md,澄明科技-行政综合部办公与资产使用基础执行规范,,REPLACE_DOC_006
SYN-007,007-SYN-007-行政综合部-季度运行细则.md,澄明科技-行政综合部办公与资产使用季度运行细则,,REPLACE_DOC_007
SYN-008,008-SYN-008-行政综合部-异常处理指引.md,澄明科技-行政综合部办公与资产使用异常处理指引,,REPLACE_DOC_008
SYN-009,009-SYN-009-行政综合部-质量复盘办法.md,澄明科技-行政综合部办公与资产使用质量复盘办法,,REPLACE_DOC_009
SYN-010,010-SYN-010-行政综合部-资料归档标准.md,澄明科技-行政综合部办公与资产使用资料归档标准,,REPLACE_DOC_010
SYN-011,011-SYN-011-信息安全部-基础执行规范.md,澄明科技-信息安全部账号与数据安全基础执行规范,,REPLACE_DOC_011
SYN-012,012-SYN-012-信息安全部-季度运行细则.md,澄明科技-信息安全部账号与数据安全季度运行细则,,REPLACE_DOC_012
SYN-013,013-SYN-013-信息安全部-异常处理指引.md,澄明科技-信息安全部账号与数据安全异常处理指引,,REPLACE_DOC_013
SYN-014,014-SYN-014-信息安全部-质量复盘办法.md,澄明科技-信息安全部账号与数据安全质量复盘办法,,REPLACE_DOC_014
SYN-015,015-SYN-015-信息安全部-资料归档标准.md,澄明科技-信息安全部账号与数据安全资料归档标准,,REPLACE_DOC_015
SYN-016,016-SYN-016-财务管理部-基础执行规范.md,澄明科技-财务管理部费用报销与预算基础执行规范,,REPLACE_DOC_016
SYN-017,017-SYN-017-财务管理部-季度运行细则.md,澄明科技-财务管理部费用报销与预算季度运行细则,,REPLACE_DOC_017
SYN-018,018-SYN-018-财务管理部-异常处理指引.md,澄明科技-财务管理部费用报销与预算异常处理指引,,REPLACE_DOC_018
SYN-019,019-SYN-019-财务管理部-质量复盘办法.md,澄明科技-财务管理部费用报销与预算质量复盘办法,,REPLACE_DOC_019
SYN-020,020-SYN-020-财务管理部-资料归档标准.md,澄明科技-财务管理部费用报销与预算资料归档标准,,REPLACE_DOC_020
SYN-021,021-SYN-021-项目管理部-基础执行规范.md,澄明科技-项目管理部项目交付与风险基础执行规范,,REPLACE_DOC_021
SYN-022,022-SYN-022-项目管理部-季度运行细则.md,澄明科技-项目管理部项目交付与风险季度运行细则,,REPLACE_DOC_022
SYN-023,023-SYN-023-项目管理部-异常处理指引.md,澄明科技-项目管理部项目交付与风险异常处理指引,,REPLACE_DOC_023
SYN-024,024-SYN-024-项目管理部-质量复盘办法.md,澄明科技-项目管理部项目交付与风险质量复盘办法,,REPLACE_DOC_024
SYN-025,025-SYN-025-项目管理部-资料归档标准.md,澄明科技-项目管理部项目交付与风险资料归档标准,,REPLACE_DOC_025
SYN-026,026-SYN-026-客户服务部-基础执行规范.md,澄明科技-客户服务部客户工单与服务响应基础执行规范,,REPLACE_DOC_026
SYN-027,027-SYN-027-客户服务部-季度运行细则.md,澄明科技-客户服务部客户工单与服务响应季度运行细则,,REPLACE_DOC_027
SYN-028,028-SYN-028-客户服务部-异常处理指引.md,澄明科技-客户服务部客户工单与服务响应异常处理指引,,REPLACE_DOC_028
SYN-029,029-SYN-029-客户服务部-质量复盘办法.md,澄明科技-客户服务部客户工单与服务响应质量复盘办法,,REPLACE_DOC_029
SYN-030,030-SYN-030-客户服务部-资料归档标准.md,澄明科技-客户服务部客户工单与服务响应资料归档标准,,REPLACE_DOC_030
SYN-031,031-SYN-031-采购管理部-基础执行规范.md,澄明科技-采购管理部供应商准入与采购基础执行规范,,REPLACE_DOC_031
SYN-032,032-SYN-032-采购管理部-季度运行细则.md,澄明科技-采购管理部供应商准入与采购季度运行细则,,REPLACE_DOC_032
SYN-033,033-SYN-033-采购管理部-异常处理指引.md,澄明科技-采购管理部供应商准入与采购异常处理指引,,REPLACE_DOC_033
SYN-034,034-SYN-034-采购管理部-质量复盘办法.md,澄明科技-采购管理部供应商准入与采购质量复盘办法,,REPLACE_DOC_034
SYN-035,035-SYN-035-采购管理部-资料归档标准.md,澄明科技-采购管理部供应商准入与采购资料归档标准,,REPLACE_DOC_035
SYN-036,036-SYN-036-销售运营部-基础执行规范.md,澄明科技-销售运营部销售线索与合同归档基础执行规范,,REPLACE_DOC_036
SYN-037,037-SYN-037-销售运营部-季度运行细则.md,澄明科技-销售运营部销售线索与合同归档季度运行细则,,REPLACE_DOC_037
SYN-038,038-SYN-038-销售运营部-异常处理指引.md,澄明科技-销售运营部销售线索与合同归档异常处理指引,,REPLACE_DOC_038
SYN-039,039-SYN-039-销售运营部-质量复盘办法.md,澄明科技-销售运营部销售线索与合同归档质量复盘办法,,REPLACE_DOC_039
SYN-040,040-SYN-040-销售运营部-资料归档标准.md,澄明科技-销售运营部销售线索与合同归档资料归档标准,,REPLACE_DOC_040
SYN-041,041-SYN-041-研发管理部-基础执行规范.md,澄明科技-研发管理部研发变更与发布基础执行规范,,REPLACE_DOC_041
SYN-042,042-SYN-042-研发管理部-季度运行细则.md,澄明科技-研发管理部研发变更与发布季度运行细则,,REPLACE_DOC_042
SYN-043,043-SYN-043-研发管理部-异常处理指引.md,澄明科技-研发管理部研发变更与发布异常处理指引,,REPLACE_DOC_043
SYN-044,044-SYN-044-研发管理部-质量复盘办法.md,澄明科技-研发管理部研发变更与发布质量复盘办法,,REPLACE_DOC_044
SYN-045,045-SYN-045-研发管理部-资料归档标准.md,澄明科技-研发管理部研发变更与发布资料归档标准,,REPLACE_DOC_045
SYN-046,046-SYN-046-质量管理部-基础执行规范.md,澄明科技-质量管理部质量检查与整改闭环基础执行规范,,REPLACE_DOC_046
SYN-047,047-SYN-047-质量管理部-季度运行细则.md,澄明科技-质量管理部质量检查与整改闭环季度运行细则,,REPLACE_DOC_047
SYN-048,048-SYN-048-质量管理部-异常处理指引.md,澄明科技-质量管理部质量检查与整改闭环异常处理指引,,REPLACE_DOC_048
SYN-049,049-SYN-049-质量管理部-质量复盘办法.md,澄明科技-质量管理部质量检查与整改闭环质量复盘办法,,REPLACE_DOC_049
SYN-050,050-SYN-050-质量管理部-资料归档标准.md,澄明科技-质量管理部质量检查与整改闭环资料归档标准,,REPLACE_DOC_050
